,date,Gross Sales,Discounts,Net Sales,Tax,Total Collected,Cash,Card,PayPay
370,2019-01-02,1815,0,1815,145,1960,1960,0,0
371,2019-01-02,232,0,232,18,250,250,0,0
372,2019-01-02,1908,0,1908,152,2060,2060,0,0
373,2019-01-02,926,0,926,74,1000,1000,0,0
374,2019-01-02,676,0,676,54,730,730,0,0
375,2019-01-02,988,-210,778,62,840,840,0,0
376,2019-01-02,371,0,371,29,400,400,0,0
377,2019-01-02,1371,0,1371,109,1480,1480,0,0
378,2019-01-02,1815,0,1815,145,1960,1960,0,0
379,2019-01-02,399,0,399,31,430,430,0,0
380,2019-01-02,139,0,139,11,150,150,0,0
381,2019-01-02,491,0,491,39,530,530,0,0
382,2019-01-02,704,0,704,56,760,760,0,0
383,2019-01-02,232,0,232,18,250,250,0,0
384,2019-01-02,501,0,501,39,540,540,0,0
385,2019-01-02,130,0,130,10,140,140,0,0
386,2019-01-02,1334,0,1334,106,1440,1440,0,0
387,2019-01-02,130,0,130,10,140,140,0,0
388,2019-01-02,3259,0,3259,251,3510,3510,0,0
389,2019-01-02,278,0,278,22,300,300,0,0
390,2019-01-02,2723,0,2723,217,2940,2940,0,0
391,2019-01-02,417,0,417,33,450,450,0,0
392,2019-01-02,1070,0,1070,85,1155,1155,0,0
393,2019-01-02,510,0,510,40,550,550,0,0
394,2019-01-02,851,0,851,59,910,910,0,0
395,2019-01-02,232,0,232,18,250,250,0,0
396,2019-01-02,362,0,362,28,390,390,0,0
397,2019-01-02,334,0,334,26,360,360,0,0
398,2019-01-02,1334,0,1334,106,1440,1440,0,0
399,2019-01-02,908,0,908,72,980,980,0,0
400,2019-01-02,1639,0,1639,131,1770,1770,0,0
401,2019-01-02,195,0,195,15,210,210,0,0
402,2019-01-02,649,0,649,51,700,700,0,0
403,2019-01-02,186,0,186,14,200,200,0,0
404,2019-01-02,435,0,435,25,460,460,0,0
405,2019-01-02,436,0,436,34,470,470,0,0
406,2019-01-02,1482,0,1482,118,1600,1600,0,0
407,2019-01-02,510,0,510,40,550,550,0,0
408,2019-01-02,362,0,362,28,390,390,0,0
409,2019-01-02,797,0,797,63,860,860,0,0
410,2019-01-02,917,0,917,73,990,990,0,0
411,2019-01-02,510,0,510,40,550,550,0,0
412,2019-01-02,2047,0,2047,163,2210,0,2210,0
413,2019-01-02,556,0,556,44,600,600,0,0
414,2019-01-02,75862,0,75862,6068,81930,81930,0,0
415,2019-01-02,269,0,269,21,290,290,0,0
416,2019-01-02,917,0,917,73,990,990,0,0
417,2019-01-02,1945,0,1945,155,2100,2100,0,0
